title,author,first_publish_year,publisher,language,subject,isbn,cover_i,description,search_term,ol_key,filter_text,clean_description,clean_subject,combined_text,cover_url
The Kite Runner--the graphic novel,Khaled Hosseini,2011.0,,"eng, ara",,,8063795.0,"""The spellbinding story of the unlikely and inseparable friendship between two boys caught in the tragic sweep of history-- from the final days of Afghanistan's monarchy throught the horrific rule of the Taliban""-- book flap.",graphic novel,/works/OL15902631W,"the kite runner--the graphic novel khaled hosseini  ""the spellbinding story of the unlikely and inseparable friendship between two boys caught in the tragic sweep of history-- from the final days of afghanistan's monarchy throught the horrific rule of the taliban""-- book flap.",the spellbinding story of the unlikely and inseparable friendship between two boys caught in the tragic sweep of history from the final days of afghanistan s monarchy throught the horrific rule of the taliban book flap,,The Kite Runner--the graphic novel Khaled Hosseini  the spellbinding story of the unlikely and inseparable friendship between two boys caught in the tragic sweep of history from the final days of afghanistan s monarchy throught the horrific rule of the taliban book flap,https://covers.openlibrary.org/b/id/8063795-M.jpg
The dragonet prophecy [graphic novel],Barry Deutsch,2018.0,,eng,,,15121740.0,"Determined to end a generations-long war among the seven dragon tribes, a secret movement called the Talons of Peace draws on a prophecy that calls for a great sacrifice, compelling five appointed dragonets to fulfill a painful destiny against their will.

Not every dragonet wants a destiny-- Clay has grown up under the mountain, chosen along with four other dragonets to fulfill a mysterious prophecy and end the war between the dragon tribes of Pyrrhia. He's not so sure about the prophecy part, but Clay can't imagine not living with the other dragonets; they're his best friends.  So when one of the dragonets is threatened, all five spring into action. Together, they will choose freedom over fate, leave the mountain, and fulfill their destiny -- on their own terms. The New York Times bestselling Wings of Fire series takes flight in this first graphic novel edition, adapted by the author with art by Mike Holmes. -- Provided by publisher.",graphic novel,/works/OL19728189W,"the dragonet prophecy [graphic novel] barry deutsch  determined to end a generations-long war among the seven dragon tribes, a secret movement called the talons of peace draws on a prophecy that calls for a great sacrifice, compelling five appointed dragonets to fulfill a painful destiny against their will.

not every dragonet wants a destiny-- clay has grown up under the mountain, chosen along with four other dragonets to fulfill a mysterious prophecy and end the war between the dragon tribes of pyrrhia. he's not so sure about the prophecy part, but clay can't imagine not living with the other dragonets; they're his best friends.  so when one of the dragonets is threatened, all five spring into action. together, they will choose freedom over fate, leave the mountain, and fulfill their destiny -- on their own terms. the new york times bestselling wings of fire series takes flight in this first graphic novel edition, adapted by the author with art by mike holmes. -- provided by publisher.",determined to end a generations long war among the seven dragon tribes a secret movement called the talons of peace draws on a prophecy that calls for a great sacrifice compelling five appointed dragonets to fulfill a painful destiny against their will not every dragonet wants a destiny clay has grown up under the mountain chosen along with four other dragonets to fulfill a mysterious prophecy and end the war between the dragon tribes of pyrrhia he s not so sure about the prophecy part but clay can t imagine not living with the other dragonets they re his best friends so when one of the dragonets is threatened all five spring into action together they will choose freedom over fate leave the mountain and fulfill their destiny on their own terms the new york times bestselling wings of fire series takes flight in this first graphic novel edition adapted by the author with art by mike holmes provided by publisher,,The dragonet prophecy [graphic novel] Barry Deutsch  determined to end a generations long war among the seven dragon tribes a secret movement called the talons of peace draws on a prophecy that calls for a great sacrifice compelling five appointed dragonets to fulfill a painful destiny against their will not every dragonet wants a destiny clay has grown up under the mountain chosen along with four other dragonets to fulfill a mysterious prophecy and end the war between the dragon tribes of pyrrhia he s not so sure about the prophecy part but clay can t imagine not living with the other dragonets they re his best friends so when one of the dragonets is threatened all five spring into action together they will choose freedom over fate leave the mountain and fulfill their destiny on their own terms the new york times bestselling wings of fire series takes flight in this first graphic novel edition adapted by the author with art by mike holmes provided by publisher,https://covers.openlibrary.org/b/id/15121740-M.jpg
The hidden kingdom [graphic novel],Barry Deutsch,2000.0,,eng,,,9174201.0,"Write your legend, draw your destiny, and take flight!
The legend starts with you!Do you love to draw or write? Do you have your very own dragon stories to tell? In this official Wings of Fire journal, you'll design awesome characters, imagine new adventures, and forge YOUR fantasy world!With examples from Wings of Fire graphic artist Mike Holmes, Tui T. Sutherland guides you through the #1 New York Times bestselling Wings of Fire series in a more interactive and exciting way than ever before.Spread your wings with your very own graphic story creation!",graphic novel,/works/OL20523543W,"the hidden kingdom [graphic novel] barry deutsch  write your legend, draw your destiny, and take flight!
the legend starts with you!do you love to draw or write? do you have your very own dragon stories to tell? in this official wings of fire journal, you'll design awesome characters, imagine new adventures, and forge your fantasy world!with examples from wings of fire graphic artist mike holmes, tui t. sutherland guides you through the #1 new york times bestselling wings of fire series in a more interactive and exciting way than ever before.spread your wings with your very own graphic story creation!",write your legend draw your destiny and take flight the legend starts with you do you love to draw or write do you have your very own dragon stories to tell in this official wings of fire journal you ll design awesome characters imagine new adventures and forge your fantasy world with examples from wings of fire graphic artist mike holmes tui t sutherland guides you through the 1 new york times bestselling wings of fire series in a more interactive and exciting way than ever before spread your wings with your very own graphic story creation,,The hidden kingdom [graphic novel] Barry Deutsch  write your legend draw your destiny and take flight the legend starts with you do you love to draw or write do you have your very own dragon stories to tell in this official wings of fire journal you ll design awesome characters imagine new adventures and forge your fantasy world with examples from wings of fire graphic artist mike holmes tui t sutherland guides you through the 1 new york times bestselling wings of fire series in a more interactive and exciting way than ever before spread your wings with your very own graphic story creation,https://covers.openlibrary.org/b/id/9174201-M.jpg
Artemis Fowl. The Graphic Novel,"Eoin Colfer, Andrew Donkin, Michael Moreci, Stephen Gilpin",2007.0,,"eng, spa",,,12636250.0,"In 2001, audiences first met and fell in love with a twelve-year-old criminal mastermind named Artemis Fowl. Since then, the series has sold over seven million copies in the United States alone. Now, this phenomenally successful series is being translated into a graphic novel format. Eoin Colfer has teamed up with established comic writer Andrew Donkin to adapt the text. For the first time, rabid fans will be able to see what Foaly's tin hat looks like; discover just how ""Beet"" Root got his name; and of course, follow their favorite criminal mastermind as he plots and connives in action-packed, full-color panels.",graphic novel,/works/OL17199409W,"artemis fowl. the graphic novel eoin colfer, andrew donkin, michael moreci, stephen gilpin  in 2001, audiences first met and fell in love with a twelve-year-old criminal mastermind named artemis fowl. since then, the series has sold over seven million copies in the united states alone. now, this phenomenally successful series is being translated into a graphic novel format. eoin colfer has teamed up with established comic writer andrew donkin to adapt the text. for the first time, rabid fans will be able to see what foaly's tin hat looks like; discover just how ""beet"" root got his name; and of course, follow their favorite criminal mastermind as he plots and connives in action-packed, full-color panels.",in 2001 audiences first met and fell in love with a twelve year old criminal mastermind named artemis fowl since then the series has sold over seven million copies in the united states alone now this phenomenally successful series is being translated into a graphic novel format eoin colfer has teamed up with established comic writer andrew donkin to adapt the text for the first time rabid fans will be able to see what foaly s tin hat looks like discover just how beet root got his name and of course follow their favorite criminal mastermind as he plots and connives in action packed full color panels,,"Artemis Fowl. The Graphic Novel Eoin Colfer, Andrew Donkin, Michael Moreci, Stephen Gilpin  in 2001 audiences first met and fell in love with a twelve year old criminal mastermind named artemis fowl since then the series has sold over seven million copies in the united states alone now this phenomenally successful series is being translated into a graphic novel format eoin colfer has teamed up with established comic writer andrew donkin to adapt the text for the first time rabid fans will be able to see what foaly s tin hat looks like discover just how beet root got his name and of course follow their favorite criminal mastermind as he plots and connives in action packed full color panels",https://covers.openlibrary.org/b/id/12636250-M.jpg
Monster High,Heather Nuhfer,2014.0,,eng,,,8402740.0,"Romance is in the air in this brand-new Monster High graphic novel featuring a collection of six original stories about all your favorite ghouls. The Fraidy Hawkins Day Dance is creeping up, and the monsters are aflutter with romantic hopes and screams.",graphic novel,/works/OL19086822W,"monster high heather nuhfer  romance is in the air in this brand-new monster high graphic novel featuring a collection of six original stories about all your favorite ghouls. the fraidy hawkins day dance is creeping up, and the monsters are aflutter with romantic hopes and screams.",romance is in the air in this brand new monster high graphic novel featuring a collection of six original stories about all your favorite ghouls the fraidy hawkins day dance is creeping up and the monsters are aflutter with romantic hopes and screams,,Monster High Heather Nuhfer  romance is in the air in this brand new monster high graphic novel featuring a collection of six original stories about all your favorite ghouls the fraidy hawkins day dance is creeping up and the monsters are aflutter with romantic hopes and screams,https://covers.openlibrary.org/b/id/8402740-M.jpg
The Sign of Four,Arthur Conan Doyle,1889.0,,"fin, spa, eng, mul, srp",,,9247987.0,"The Sign of the Four (1890), also called The Sign of Four, is the second novel featuring Sherlock Holmes written by Sir Arthur Conan Doyle.


----------
Also contained in:
[Adventures of Sherlock Holmes](https://openlibrary.org/works/OL20624138W)
[Adventures of Sherlock Holmes](https://openlibrary.org/works/OL18191906W)
[Annotated Sherlock Holmes. 1/2](https://openlibrary.org/works/OL1518438W)
[Best of Sherlock Holmes](https://openlibrary.org/works/OL18195589W)
[Boys' Sherlock Holmes](https://openlibrary.org/works/OL8696809W)
[Celebrated Cases of Sherlock Holmes](https://openlibrary.org/works/OL16076930W)
[Complete Sherlock Holmes](https://openlibrary.org/works/OL18188824W)
[Complete Sherlock Holmes](https://openlibrary.org/works/OL14929975W)
[Illustrated Sherlock Holmes](https://openlibrary.org/works/OL1518342W)
[Original Illustrated Strand Sherlock Holmes](https://openlibrary.org/works/OL262529W)
[Sherlock Holmes: His Most Famous Mysteries](https://openlibrary.org/works/OL14930414W)
[Sherlock Holmes: The Novels](https://openlibrary.org/works/OL16018654W)
[The Sign of the Four, A Scandal in Bohemia and Other Stories](https://openlibrary.org/works/OL20630338W)
[Sign of the Four and Other Stories](https://openlibrary.org/works/OL20628655W)
[Tales of Sherlock Holmes](https://openlibrary.org/works/OL1518350W)
[Tales of Sherlock Holmes](https://openlibrary.org/works/OL1518418W)
[Works](https://openlibrary.org/works/OL16173818W)",graphic novel,/works/OL262438W,"the sign of four arthur conan doyle  the sign of the four (1890), also called the sign of four, is the second novel featuring sherlock holmes written by sir arthur conan doyle.


----------
also contained in:
[adventures of sherlock holmes](https://openlibrary.org/works/ol20624138w)
[adventures of sherlock holmes](https://openlibrary.org/works/ol18191906w)
[annotated sherlock holmes. 1/2](https://openlibrary.org/works/ol1518438w)
[best of sherlock holmes](https://openlibrary.org/works/ol18195589w)
[boys' sherlock holmes](https://openlibrary.org/works/ol8696809w)
[celebrated cases of sherlock holmes](https://openlibrary.org/works/ol16076930w)
[complete sherlock holmes](https://openlibrary.org/works/ol18188824w)
[complete sherlock holmes](https://openlibrary.org/works/ol14929975w)
[illustrated sherlock holmes](https://openlibrary.org/works/ol1518342w)
[original illustrated strand sherlock holmes](https://openlibrary.org/works/ol262529w)
[sherlock holmes: his most famous mysteries](https://openlibrary.org/works/ol14930414w)
[sherlock holmes: the novels](https://openlibrary.org/works/ol16018654w)
[the sign of the four, a scandal in bohemia and other stories](https://openlibrary.org/works/ol20630338w)
[sign of the four and other stories](https://openlibrary.org/works/ol20628655w)
[tales of sherlock holmes](https://openlibrary.org/works/ol1518350w)
[tales of sherlock holmes](https://openlibrary.org/works/ol1518418w)
[works](https://openlibrary.org/works/ol16173818w)",the sign of the four 1890 also called the sign of four is the second novel featuring sherlock holmes written by sir arthur conan doyle also contained in adventures of sherlock holmes adventures of sherlock holmes annotated sherlock holmes 1 2 best of sherlock holmes boys sherlock holmes celebrated cases of sherlock holmes complete sherlock holmes complete sherlock holmes illustrated sherlock holmes original illustrated strand sherlock holmes sherlock holmes his most famous mysteries sherlock holmes the novels the sign of the four a scandal in bohemia and other stories sign of the four and other stories tales of sherlock holmes tales of sherlock holmes works,,The Sign of Four Arthur Conan Doyle  the sign of the four 1890 also called the sign of four is the second novel featuring sherlock holmes written by sir arthur conan doyle also contained in adventures of sherlock holmes adventures of sherlock holmes annotated sherlock holmes 1 2 best of sherlock holmes boys sherlock holmes celebrated cases of sherlock holmes complete sherlock holmes complete sherlock holmes illustrated sherlock holmes original illustrated strand sherlock holmes sherlock holmes his most famous mysteries sherlock holmes the novels the sign of the four a scandal in bohemia and other stories sign of the four and other stories tales of sherlock holmes tales of sherlock holmes works,https://covers.openlibrary.org/b/id/9247987-M.jpg
Mortal Instruments,"Cassandra Clare, Cassandra Jean",2017.0,,eng,,,10514662.0,"The first installment of Cassandra Clare's bestselling urban fantasy series, The Mortal Instruments, is adapted into a graphic novel series!

Hanging out with her best friend, Simon, is just about the most exciting thing in Clary's life...that is, until she realizes there are people only she can see. But when her mother disappears and a monster attacks her, Clary has to embrace a world that she never even knew existed--a world full of vampires, werewolves, demons, and those who fight for the humans, Shadowhunters.",graphic novel,/works/OL21629205W,"mortal instruments cassandra clare, cassandra jean  the first installment of cassandra clare's bestselling urban fantasy series, the mortal instruments, is adapted into a graphic novel series!

hanging out with her best friend, simon, is just about the most exciting thing in clary's life...that is, until she realizes there are people only she can see. but when her mother disappears and a monster attacks her, clary has to embrace a world that she never even knew existed--a world full of vampires, werewolves, demons, and those who fight for the humans, shadowhunters.",the first installment of cassandra clare s bestselling urban fantasy series the mortal instruments is adapted into a graphic novel series hanging out with her best friend simon is just about the most exciting thing in clary s life that is until she realizes there are people only she can see but when her mother disappears and a monster attacks her clary has to embrace a world that she never even knew existed a world full of vampires werewolves demons and those who fight for the humans shadowhunters,,"Mortal Instruments Cassandra Clare, Cassandra Jean  the first installment of cassandra clare s bestselling urban fantasy series the mortal instruments is adapted into a graphic novel series hanging out with her best friend simon is just about the most exciting thing in clary s life that is until she realizes there are people only she can see but when her mother disappears and a monster attacks her clary has to embrace a world that she never even knew existed a world full of vampires werewolves demons and those who fight for the humans shadowhunters",https://covers.openlibrary.org/b/id/10514662-M.jpg
Gulliver's Travels,Jonathan Swift,1726.0,,"rum, mal, kor, ita, spa",,,12717083.0,"A parody of traveler’s tales and a satire of human nature, “Gulliver’s Travels” is Jonathan Swift’s most famous work which was first published in 1726. An immensely popular tale ever since its original publication, “Gulliver’s Travels” is the story of its titular character, Lemuel Gulliver, a man who loves to travel. A series of four journeys are detailed in which Gulliver finds himself in a number of amusing and precarious situations. In the first voyage, Gulliver is imprisoned by a race of tiny people, the Lilliputians, when following a shipwreck he is washed upon the shores of their island country. In his second voyage Gulliver finds himself abandoned in Brobdingnag, a land of giants, where he is exhibited for their amusement. In his third voyage, Gulliver once again finds himself marooned; fortunately he is rescued by the flying island of Laputa, a kingdom devoted to the arts of music and mathematics. He subsequently travels to the surrounding lands of Balnibarbi, Luggnagg, Glubbdubdrib, and Japan. Finally in his last voyage, when he is set adrift by a mutinous crew, he finds himself in the curious Country of the Houyhnhnms. Through the various experiences of Gulliver, Swift brilliantly satirizes the political and cultural environment of his time in addition to creating a lasting and enchanting tale of fantasy. This edition is illustrated by Milo Winter and includes an introduction by George R. Dennis.",graphic novel,/works/OL20600W,"gulliver's travels jonathan swift  a parody of traveler’s tales and a satire of human nature, “gulliver’s travels” is jonathan swift’s most famous work which was first published in 1726. an immensely popular tale ever since its original publication, “gulliver’s travels” is the story of its titular character, lemuel gulliver, a man who loves to travel. a series of four journeys are detailed in which gulliver finds himself in a number of amusing and precarious situations. in the first voyage, gulliver is imprisoned by a race of tiny people, the lilliputians, when following a shipwreck he is washed upon the shores of their island country. in his second voyage gulliver finds himself abandoned in brobdingnag, a land of giants, where he is exhibited for their amusement. in his third voyage, gulliver once again finds himself marooned; fortunately he is rescued by the flying island of laputa, a kingdom devoted to the arts of music and mathematics. he subsequently travels to the surrounding lands of balnibarbi, luggnagg, glubbdubdrib, and japan. finally in his last voyage, when he is set adrift by a mutinous crew, he finds himself in the curious country of the houyhnhnms. through the various experiences of gulliver, swift brilliantly satirizes the political and cultural environment of his time in addition to creating a lasting and enchanting tale of fantasy. this edition is illustrated by milo winter and includes an introduction by george r. dennis.",a parody of traveler s tales and a satire of human nature gulliver s travels is jonathan swift s most famous work which was first published in 1726 an immensely popular tale ever since its original publication gulliver s travels is the story of its titular character lemuel gulliver a man who loves to travel a series of four journeys are detailed in which gulliver finds himself in a number of amusing and precarious situations in the first voyage gulliver is imprisoned by a race of tiny people the lilliputians when following a shipwreck he is washed upon the shores of their island country in his second voyage gulliver finds himself abandoned in brobdingnag a land of giants where he is exhibited for their amusement in his third voyage gulliver once again finds himself marooned fortunately he is rescued by the flying island of laputa a kingdom devoted to the arts of music and mathematics he subsequently travels to the surrounding lands of balnibarbi luggnagg glubbdubdrib and japan finally in his last voyage when he is set adrift by a mutinous crew he finds himself in the curious country of the houyhnhnms through the various experiences of gulliver swift brilliantly satirizes the political and cultural environment of his time in addition to creating a lasting and enchanting tale of fantasy this edition is illustrated by milo winter and includes an introduction by george r dennis,,Gulliver's Travels Jonathan Swift  a parody of traveler s tales and a satire of human nature gulliver s travels is jonathan swift s most famous work which was first published in 1726 an immensely popular tale ever since its original publication gulliver s travels is the story of its titular character lemuel gulliver a man who loves to travel a series of four journeys are detailed in which gulliver finds himself in a number of amusing and precarious situations in the first voyage gulliver is imprisoned by a race of tiny people the lilliputians when following a shipwreck he is washed upon the shores of their island country in his second voyage gulliver finds himself abandoned in brobdingnag a land of giants where he is exhibited for their amusement in his third voyage gulliver once again finds himself marooned fortunately he is rescued by the flying island of laputa a kingdom devoted to the arts of music and mathematics he subsequently travels to the surrounding lands of balnibarbi luggnagg glubbdubdrib and japan finally in his last voyage when he is set adrift by a mutinous crew he finds himself in the curious country of the houyhnhnms through the various experiences of gulliver swift brilliantly satirizes the political and cultural environment of his time in addition to creating a lasting and enchanting tale of fantasy this edition is illustrated by milo winter and includes an introduction by george r dennis,https://covers.openlibrary.org/b/id/12717083-M.jpg
Graphic Novels,Paul Gravett,2005.0,,eng,,,37109.0,"This is the perfect companion to the world of graphic novels, whether you’re a novice uncertain where to start or an enthusiast eager to discover more. In a series of interlinked chapters, Paul Gravett introduces the masterpieces of the medium and helps readers explore its treasures, from the rich, mysterious textures of Neil Gaiman’s Sandman to Marjane Satrapi’s vivid memories of her Iranian childhood in Persepolis.",graphic novel,/works/OL276287W,"graphic novels paul gravett  this is the perfect companion to the world of graphic novels, whether you’re a novice uncertain where to start or an enthusiast eager to discover more. in a series of interlinked chapters, paul gravett introduces the masterpieces of the medium and helps readers explore its treasures, from the rich, mysterious textures of neil gaiman’s sandman to marjane satrapi’s vivid memories of her iranian childhood in persepolis.",this is the perfect companion to the world of graphic novels whether you re a novice uncertain where to start or an enthusiast eager to discover more in a series of interlinked chapters paul gravett introduces the masterpieces of the medium and helps readers explore its treasures from the rich mysterious textures of neil gaiman s sandman to marjane satrapi s vivid memories of her iranian childhood in persepolis,,Graphic Novels Paul Gravett  this is the perfect companion to the world of graphic novels whether you re a novice uncertain where to start or an enthusiast eager to discover more in a series of interlinked chapters paul gravett introduces the masterpieces of the medium and helps readers explore its treasures from the rich mysterious textures of neil gaiman s sandman to marjane satrapi s vivid memories of her iranian childhood in persepolis,https://covers.openlibrary.org/b/id/37109-M.jpg
The graphic novel,Jan Baetens,2001.0,,eng,,,2287489.0,"""This book provides both students and scholars with a critical and historical introduction to the graphic novel. Jan Baetens and Hugo Frey explore this exciting form of visual and literary communication, showing readers how to situate and analyze graphic novels since their rise to prominence half a century ago. Several key questions are addressed: What is the graphic novel? How do we read graphic novels as narrative forms? Why is page design and publishing format so significant? What theories are developing to explain the genre? How is this form blurring the categories of high and popular literature? Why are graphic novelists nostalgic for the old comics? The authors address these and many other questions raised by the genre. Through their analysis of the works of many well-known graphic novelists - including Bechdel, Clowes, Spiegelman and Ware - Baetens and Frey offer significant insights for future teaching and research on the graphic novel""--",graphic novel,/works/OL18316812W,"the graphic novel jan baetens  ""this book provides both students and scholars with a critical and historical introduction to the graphic novel. jan baetens and hugo frey explore this exciting form of visual and literary communication, showing readers how to situate and analyze graphic novels since their rise to prominence half a century ago. several key questions are addressed: what is the graphic novel? how do we read graphic novels as narrative forms? why is page design and publishing format so significant? what theories are developing to explain the genre? how is this form blurring the categories of high and popular literature? why are graphic novelists nostalgic for the old comics? the authors address these and many other questions raised by the genre. through their analysis of the works of many well-known graphic novelists - including bechdel, clowes, spiegelman and ware - baetens and frey offer significant insights for future teaching and research on the graphic novel""--",this book provides both students and scholars with a critical and historical introduction to the graphic novel jan baetens and hugo frey explore this exciting form of visual and literary communication showing readers how to situate and analyze graphic novels since their rise to prominence half a century ago several key questions are addressed what is the graphic novel how do we read graphic novels as narrative forms why is page design and publishing format so significant what theories are developing to explain the genre how is this form blurring the categories of high and popular literature why are graphic novelists nostalgic for the old comics the authors address these and many other questions raised by the genre through their analysis of the works of many well known graphic novelists including bechdel clowes spiegelman and ware baetens and frey offer significant insights for future teaching and research on the graphic novel,,The graphic novel Jan Baetens  this book provides both students and scholars with a critical and historical introduction to the graphic novel jan baetens and hugo frey explore this exciting form of visual and literary communication showing readers how to situate and analyze graphic novels since their rise to prominence half a century ago several key questions are addressed what is the graphic novel how do we read graphic novels as narrative forms why is page design and publishing format so significant what theories are developing to explain the genre how is this form blurring the categories of high and popular literature why are graphic novelists nostalgic for the old comics the authors address these and many other questions raised by the genre through their analysis of the works of many well known graphic novelists including bechdel clowes spiegelman and ware baetens and frey offer significant insights for future teaching and research on the graphic novel,https://covers.openlibrary.org/b/id/2287489-M.jpg
Frankenstein,"Jason Cobley, Mary Shelley",2008.0,,eng,,,9319226.0,A monster assembled by a scientist from parts of dead bodies develops a mind of his own as he learns to loathe himself and hate his creator. In graphic novel format. [Adaptation of the original Mary Shelley novel.],graphic novel,/works/OL17504079W,"frankenstein jason cobley, mary shelley  a monster assembled by a scientist from parts of dead bodies develops a mind of his own as he learns to loathe himself and hate his creator. in graphic novel format. [adaptation of the original mary shelley novel.]",a monster assembled by a scientist from parts of dead bodies develops a mind of his own as he learns to loathe himself and hate his creator in graphic novel format adaptation of the original mary shelley novel,,"Frankenstein Jason Cobley, Mary Shelley  a monster assembled by a scientist from parts of dead bodies develops a mind of his own as he learns to loathe himself and hate his creator in graphic novel format adaptation of the original mary shelley novel",https://covers.openlibrary.org/b/id/9319226-M.jpg
"Heartstopper, Volume Five",Alice Oseman,2021.0,,"eng, dut, pol",,,13273878.0,"Boy meets boy. Boys become friends. Boys fall in love. The bestselling LGBTQ+ graphic novel about life, love, and everything that happens in between: this is the fifth volume of the much-loved HEARTSTOPPER series.

Nick and Charlie are very much in love. They've finally said those three little words, and Charlie has almost persuaded his mum to let him sleep over at Nick's house ... But with Nick going off to university next year, is everything about to change?

By Alice Oseman, winner of the YA Book Prize, Heartstopper encompasses all the small moments of Nick and Charlie's lives that together make up something larger, which speaks to all of us.

Contains discussions around mental health and eating disorders, and sexual references.",graphic novel,/works/OL28959223W,"heartstopper, volume five alice oseman  boy meets boy. boys become friends. boys fall in love. the bestselling lgbtq+ graphic novel about life, love, and everything that happens in between: this is the fifth volume of the much-loved heartstopper series.

nick and charlie are very much in love. they've finally said those three little words, and charlie has almost persuaded his mum to let him sleep over at nick's house ... but with nick going off to university next year, is everything about to change?

by alice oseman, winner of the ya book prize, heartstopper encompasses all the small moments of nick and charlie's lives that together make up something larger, which speaks to all of us.

contains discussions around mental health and eating disorders, and sexual references.",boy meets boy boys become friends boys fall in love the bestselling lgbtq graphic novel about life love and everything that happens in between this is the fifth volume of the much loved heartstopper series nick and charlie are very much in love they ve finally said those three little words and charlie has almost persuaded his mum to let him sleep over at nick s house but with nick going off to university next year is everything about to change by alice oseman winner of the ya book prize heartstopper encompasses all the small moments of nick and charlie s lives that together make up something larger which speaks to all of us contains discussions around mental health and eating disorders and sexual references,,"Heartstopper, Volume Five Alice Oseman  boy meets boy boys become friends boys fall in love the bestselling lgbtq graphic novel about life love and everything that happens in between this is the fifth volume of the much loved heartstopper series nick and charlie are very much in love they ve finally said those three little words and charlie has almost persuaded his mum to let him sleep over at nick s house but with nick going off to university next year is everything about to change by alice oseman winner of the ya book prize heartstopper encompasses all the small moments of nick and charlie s lives that together make up something larger which speaks to all of us contains discussions around mental health and eating disorders and sexual references",https://covers.openlibrary.org/b/id/13273878-M.jpg
Dragonflight Graphic Novel,Anne McCaffrey,1993.0,,eng,,,11408820.0,Graphic novel version of the classic first novel of the Dragonriders of Pern series.,graphic novel,/works/OL14912640W,dragonflight graphic novel anne mccaffrey  graphic novel version of the classic first novel of the dragonriders of pern series.,graphic novel version of the classic first novel of the dragonriders of pern series,,Dragonflight Graphic Novel Anne McCaffrey  graphic novel version of the classic first novel of the dragonriders of pern series,https://covers.openlibrary.org/b/id/11408820-M.jpg
"New Moon - The Graphic Novel, Vol. 1",Young Kim,2013.0,,eng,,,11022931.0,"Bella and Edward find themselves facing new obstacles, including a devastating separation, dangerous wolves roaming the forest in Forks, and a sinister encounter with Italy's reigning royal family of vampires, the Volturi.

In this graphic-novel adaptation, Bella and Edward struggle with being separated while dangerous wolves roam the forest surrounding Forks, and a female vampire seeking revenge poses a threat.",graphic novel,/works/OL19965691W,"new moon - the graphic novel, vol. 1 young kim  bella and edward find themselves facing new obstacles, including a devastating separation, dangerous wolves roaming the forest in forks, and a sinister encounter with italy's reigning royal family of vampires, the volturi.

in this graphic-novel adaptation, bella and edward struggle with being separated while dangerous wolves roam the forest surrounding forks, and a female vampire seeking revenge poses a threat.",bella and edward find themselves facing new obstacles including a devastating separation dangerous wolves roaming the forest in forks and a sinister encounter with italy s reigning royal family of vampires the volturi in this graphic novel adaptation bella and edward struggle with being separated while dangerous wolves roam the forest surrounding forks and a female vampire seeking revenge poses a threat,,"New Moon - The Graphic Novel, Vol. 1 Young Kim  bella and edward find themselves facing new obstacles including a devastating separation dangerous wolves roaming the forest in forks and a sinister encounter with italy s reigning royal family of vampires the volturi in this graphic novel adaptation bella and edward struggle with being separated while dangerous wolves roam the forest surrounding forks and a female vampire seeking revenge poses a threat",https://covers.openlibrary.org/b/id/11022931-M.jpg
Maus I,Art Spiegelman,1986.0,,"fre, pol, ita, cat, eng",,,10210168.0,"A story of a Jewish survivor of Hitler's Europe and his son, a cartoonist who tries to come to terms with his father's story and history itself.",graphic novel,/works/OL2056818W,"maus i art spiegelman  a story of a jewish survivor of hitler's europe and his son, a cartoonist who tries to come to terms with his father's story and history itself.",a story of a jewish survivor of hitler s europe and his son a cartoonist who tries to come to terms with his father s story and history itself,,Maus I Art Spiegelman  a story of a jewish survivor of hitler s europe and his son a cartoonist who tries to come to terms with his father s story and history itself,https://covers.openlibrary.org/b/id/10210168-M.jpg
The Exile,Diana Gabaldon,2010.0,,eng,,,6593868.0,"Retells in graphic novel format the first Outlander novel from Jamie Fraser's point of view, revealing events never seen in the original story.",graphic novel,/works/OL15378406W,"the exile diana gabaldon  retells in graphic novel format the first outlander novel from jamie fraser's point of view, revealing events never seen in the original story.",retells in graphic novel format the first outlander novel from jamie fraser s point of view revealing events never seen in the original story,,The Exile Diana Gabaldon  retells in graphic novel format the first outlander novel from jamie fraser s point of view revealing events never seen in the original story,https://covers.openlibrary.org/b/id/6593868-M.jpg
